Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
P249_01N_B792,Bridge 792 on R511,Bridge,Bridge,2012/10/30,01N,P249,17.60,20.25,12.10,3,Continuous,1972/01/02
P249_01N_IDB1804,Hennops River Bridge,Bridge,Bridge,2012/10/31,01N,P249,3.30,0.00,10.80,3,Continous and simply supported,
P25_01N_B1108,Road P25/1 over river,Bridge,Bridge,2012/10/02,01N,P25,4.50,20.00,12.70,2,Simply supported,
P25_01N_B2068,Road P25-1 over rail,Bridge,Bridge,2012/10/09,01N,P25,1.00,69.20,16.75,3,Simply supported,1969/01/02
P25_01N_B767,Klip River,Bridge,Bridge,2012/10/28,01N,P25,2.31,27.50,7.20,4,Simply supported,
P25_01N_B809,Road P25/1 over river,Bridge,Bridge,2012/10/02,01N,P25,42.20,16.90,12.60,1,Simply supported,1972/01/02
P252_01N_BL06-0VP-090,P252-1 Over Guatrain,Bridge,Bridge,2012/10/30,01N,P252,2.50,10.00,13.60,1,Cellular,2009/01/02
P27_01N_B1270,Road P27/1 over stream,Bridge,Bridge,2012/10/01,01N,P27,1.00,33.40,12.50,2,Simply supported,1963/01/02
P27_01N_B1271,Road p27/1 over Suikerbosrand river,Bridge,Bridge,2012/10/01,01N,P27,5.00,64.60,12.80,4,Simply supported,1963/01/02
P27_01N_B1272,Road P27-1 over river,Bridge,Bridge,2012/10/01,01N,P27,1.00,20.00,12.90,2,Simply supported,1962/01/02
P28_1_B2094z,Vlakplaas Bridge 2094,Bridge,Bridge,2012/10/10,1,P28,1.10,22.00,12.50,3,Simply supported,
P3_6_B1971A,Midway-Bank Road over Rail (N12NB),Bridge,Bridge,2011/10/21,6,P3,85.59,50.55,12.33,3,Cellular,1963/07/01
P3_6_B1971B,Midway-Bank Road over Rail (N12SB),Bridge,Bridge,2011/10/21,6,P3,90.22,50.55,12.50,3,Cellular,1963/07/01
P31_01N_B4618,Rail bridge at route km 8.8,Bridge,Bridge,2012/10/30,01N,P31,8.80,86.30,6.00,4,Cellular,
P36_01N_B2546,M10/K103 over P36/1,Bridge,Bridge,2012/11/06,01N,P36,9.11,67.20,15.40,4,Simply supported,1972/01/02
P36_01N_B4436,Rail bridge,Bridge,Bridge,2012/10/23,01N,P36,50.10,85.00,10.50,4,Continuous,1983/01/02
P36_03N_B2251,Road over Rail and Road Bridge in Devon,Bridge,Bridge,2012/10/02,03N,P36,0.30,74.00,18.20,6,Continous and simply supported,1980/01/02
P38_01N_B237,MIDSTREAM KAAL RIVER BRIDGE,Bridge,Bridge,2012/10/31,01N,P38,17.10,31.00,7.50,5,Continous and simply supported,
P38_01N_B2623A,VAN RIEBERK PARK STATION PEDESTRIAN BRIDGE,Bridge,Bridge,2012/10/16,01N,P38,37.75,15.87,3.24,1,Continous and simply supported,
P38_01N_B3089,OLIFANTSFONTEIN TRAIN STATION BRIDGE,Bridge,Bridge,2012/10/31,01N,P38,23.05,31.20,17.30,3,Continous and simply supported,1975/01/02
P38_01N_B4176,TEMBISA NORTH RAIL,Bridge,Bridge,2012/10/16,01N,P38,25.05,14.50,13.50,1,Frame,1979/01/02
P38_01N_B4177,OAKMOOR RAIL BRIDGE,Bridge,Bridge,2012/10/16,01N,P38,25.40,103.00,11.00,4,Continous and simply supported,1982/01/02
P38_01N_B824,IRENE KAAL RIVER BRIDGE,Bridge,Bridge,2012/10/31,01N,P38,13.50,30.00,7.50,4,Simply supported,
P39_01N_B124,HERON RIVER BRIDGE ,Bridge,Bridge,2012/11/16,01N,P39,32.40,60.00,8.40,4,Frame,
P39_01N_B1785,Hennops River Bridge 4,Bridge,Bridge,2012/10/31,01N,P39,11.38,19.80,11.80,1,Simply supported,1965/01/02
P39_01N_B3206,Swartbooi River,Bridge,Bridge,2012/11/01,01N,P39,15.75,17.30,14.80,1,Continuous,1974/01/02
P39_01N_B4690,"Road bridge at Route km 4,77",Bridge,Bridge,2012/11/01,01N,P39,4.77,67.00,6.10,2,Continuous,
P39_01N_B712,(P39-1) over Crocodile River,Bridge,Bridge,2012/11/10,01N,P39,47.60,20.00,9.10,2,Simply supported,1940/01/02
P4_01N_B1516A,"ROAD OVER RIVER, R103 OVER NATAL SPRUIT",Bridge,Bridge,2012/10/12,01N,P4,2.50,64.80,12.33,8,Simply supported,
P4_01N_B1516B,"Road over river, R103 over Natal Spruit",Bridge,Bridge,2012/10/12,01N,P4,2.50,64.80,12.33,8,Simply supported,
P4_01N_B4513,Rail over Road,Bridge,Bridge,2012/10/12,01N,P4,15.50,25.85,10.20,1,Simply supported,1985/01/02
P4_01N_B5267,"ROAD OVER ROAD, BLACKREEF ROAD OVER HEIDELBERG ROAD",Bridge,Bridge,2012/10/15,01N,P4,1.90,81.35,14.50,4,Simply supported,
P4_01N_B843B,RAIL OVER ROAD  Underpass R103 Northbound,Bridge,Bridge,2012/10/16,01N,P4,1.50,12.50,44.90,1,Simply supported,1955/01/02
P4_01N_IDB1232,Road over Rail - Nederveen Hwy,Bridge,Bridge,2012/10/12,01N,P4,2.14,10.90,27.50,1,Simply supported,1958/01/02
P4_01N_IDB1239,ROAD OVER ROAD,Bridge,Bridge,2012/10/12,01N,P4,2.11,17.80,27.50,1,Simply supported,1958/01/02
P4_01N_IDB1497,Rail over Road P4/1,Bridge,Bridge,2012/10/11,01N,P4,2.00,20.90,10.60,2,Arch,1949/01/02
P4_01N_IDB1498,Road P4-1 over river,Bridge,Bridge,2012/10/11,01N,P4,1.00,59.20,21.90,8,Simply supported,
P4_01N_IDB1556,RAIL OVER ROAD  Underpass R103 Southbound,Bridge,Bridge,2012/10/16,01N,P4,1.50,11.90,31.20,1,Simply supported,1955/01/02
P4_01N_IDB1741,Rail Bridge between N3 and Route D2544,Bridge,Bridge,2012/10/08,01N,P4,11.10,14.30,12.90,1,Simply supported,
P4_02N_B1371,Road over Blesbokspruit,Bridge,Bridge,2012/10/01,02N,P4,1.00,30.00,27.80,1,Continuous,
P4_02N_B1418,Road P4/2 over river,Bridge,Bridge,2012/10/01,02N,P4,1.00,15.30,13.05,3,Simply supported,
P4_02N_B1419,Municipal road over P4/2,Bridge,Bridge,2012/11/05,02N,P4,1.00,25.90,12.90,2,Continuous,1955/01/02
P4_02N_B1420,Municipal road over P4/2,Bridge,Bridge,2012/10/01,02N,P4,0.10,12.30,12.25,1,Continuous,1960/01/02
P4_02N_B1519,Municipal road over P4/2,Bridge,Bridge,2012/10/01,02N,P4,1.00,26.10,12.10,2,Continuous,1962/01/02
P4_02N_B153,Bridge over the Suikerbosrand River,Bridge,Bridge,2012/10/08,02N,P4,21.40,75.60,13.50,6,Simply supported,1986/01/02
P41_01N_B4642,Rail over Road Bridge near Jameson Park,Bridge,Bridge,2012/10/10,01N,P41,27.40,76.70,14.90,3,Continuous,1986/01/02
P41_01N_B4834,"River Bridge near Jameson Park, Heidelberg",Bridge,Bridge,2012/10/11,01N,P41,27.30,19.90,46.80,3,Continuous,1986/01/02
P41_02_B1362,Road P41-2 over Vaal River,Bridge,Bridge,2000/01/01,1,P42,,195.20,3.05,1,,
P41_02_B4306,Road P41-2 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P41,,10.61,25.39,1,,
P41_02N_B1150,Road P41/2 over river,Bridge,Bridge,2012/10/03,02N,P41,23.00,20.00,12.70,1,Simply supported,
P41_02N_B2693,Road P41/2 over river,Bridge,Bridge,2012/10/02,02N,P41,1.00,12.60,12.50,2,Simply supported,1969/01/02
P41_02N_B2694,Road P41/2 over river,Bridge,Bridge,2012/10/03,02N,P41,1.00,20.00,12.60,2,Simply supported,
P41_02N_B2695,Road P41/2 over groot river,Bridge,Bridge,2012/10/03,02N,P41,1.00,19.20,12.70,3,Simply supported,1969/01/02
P41_02N_B2696,Road P41/2 over Blesbokspruit,Bridge,Bridge,2012/10/03,02N,P41,1.00,14.80,12.40,3,Simply supported,
P41_02N_B2697,Road P41/2 over river,Bridge,Bridge,2012/10/03,02N,P41,36.60,18.80,12.50,3,Simply supported,1969/01/02
P41_02N_B803,Road P41/2 over Suikerbosrand river,Bridge,Bridge,2012/10/02,02N,P41,1.00,57.90,12.30,7,Simply supported,1969/01/02
P42_01N_B1237,P42/1-02,Bridge,Bridge,2012/10/31,01N,P42,13.37,7.40,12.50,1,Simply supported,1984/01/02
P45_01N_B1076A,P45/1-01 South Bound,Bridge,Bridge,2012/10/18,01N,P45,7.66,11.00,12.80,1,Simply supported,1973/01/02
P45_01N_B1076B,P45/1-01 North Bound,Bridge,Bridge,2012/10/18,01N,P45,5.85,11.00,12.20,2,Frame,1973/01/02
P46_01N_B2145,Road P46-1 over rail and road,Bridge,Bridge,2012/10/10,01N,P46,10.80,64.00,12.50,6,Simply supported,1972/01/02
P46_01N_B2378,Road P46-1 over rail,Bridge,Bridge,2012/10/11,01N,P46,3.00,25.00,12.20,1,Continuous,1965/01/02
P5_01N_B1915,Rail over Road Bridge outside Vischkuil,Bridge,Bridge,2012/10/03,01N,P5,22.50,44.50,11.60,2,Continuous,
P5_01N_B1916,Road over Rail Bridge outside Devon,Bridge,Bridge,2012/10/03,01N,P5,31.30,10.00,11.60,1,Simply supported,1965/01/02
P5_01N_B4418,Boesmanspruit Bridge,Bridge,Bridge,2012/10/05,01N,P5,7.70,24.90,12.40,3,Continuous,
P58_01N_B159A,Road over Rail Forsdick Rd  Eastbound,Bridge,Bridge,2012/10/14,01N,P58,0.90,72.45,13.60,4,Simply supported,1989/01/02
P58_01N_B159B,Road over Rail Forsdick Rd  Westbound,Bridge,Bridge,2012/10/14,01N,P58,0.90,72.40,13.95,4,Simply supported,1989/01/02
P58_01N_B2957,"Road over Road, Barry Marais/North Boundary, M43/R554",Bridge,Bridge,2012/10/15,01N,P58,10.70,40.40,14.40,2,Simply supported,1970/01/02
P59_01N_B4660,P59/1-04,Bridge,Bridge,2012/11/01,01N,P59,1.52,68.00,10.00,4,Continous and simply supported,1986/01/02
P59_01N_B628,P59/1-01,Bridge,Bridge,2012/10/30,01N,P59,8.20,6.60,32.50,1,Simply supported,1985/01/02
P59_01N_IDB2021,P59/1-03,Bridge,Bridge,2012/10/30,01N,P59,13.14,50.00,6.60,2,Truss,
P6_01N_B4203,unknown,Bridge,Bridge,2012/10/24,01N,P6,19.00,36.00,15.00,3,Simply supported,1979/01/02
P6_01N_B4291,Bronkhorstspruit River bridge,Bridge,Bridge,2012/09/27,01N,P6,56.00,52.30,12.00,3,Continous and simply supported,1982/01/02
P6_01N_B4469,RAIL BRIDGE,Bridge,Bridge,2012/11/23,01N,P6,37.00,40.50,13.90,3,Simply supported,1983/01/02
P6_02N_B1269A,ROAD OVER RAIL  R23  SOUTHBOUND,Bridge,Bridge,2012/10/11,02N,P6,13.80,70.80,14.10,3,Continuous,2000/01/02
P6_02N_B1269B,ROAD OVER RAIL  R23 NORTHBOUND,Bridge,Bridge,2012/10/11,02N,P6,13.80,72.15,13.46,3,Simply supported,1982/01/02
P6_02N_B1478A,ROAD OVER RAIL MOREHILL RANGEVIEW RD OVER R1,Bridge,Bridge,2012/10/10,02N,P6,4.20,63.10,14.44,5,Continuous,1980/01/02
P6_02N_B1478B,"ROAD OVER RAIL, MOREHILL RANGEVIEW OVER R1",Bridge,Bridge,2012/10/10,02N,P6,4.20,63.10,14.32,5,Continuous,1980/01/02
P6_02N_B1479,RAIL OVER ROAD (R23),Bridge,Bridge,2012/10/09,02N,P6,0.13,27.60,22.70,2,Simply supported,1980/01/02
P6_02N_B1733,ROAD OVER ABANDON RAIL,Bridge,Bridge,2012/10/10,02N,P6,5.50,48.50,23.08,5,Simply supported,
P6_02N_B1969,Road over Rail,Bridge,Bridge,2012/10/11,02N,P6,27.00,31.15,12.30,3,Simply supported,1965/01/02
P6_02N_B970,Road over Stream Spaarwaterspruit,Bridge,Bridge,2012/10/11,02N,P6,29.20,15.00,11.88,4,Cellular,1965/01/02
P6_02N_IDB0981,"ROAD OVER RAIL, LANCASTER ROAD ",Bridge,Bridge,2012/10/09,02N,P6,4.00,51.00,16.43,5,Continuous,1980/01/02
P60_01N_IDB2627,NB043 over Tributary to Sandrivier,Bridge,Bridge,2012/11/22,01N,P60,3.21,21.10,29.82,2,Cellular,
P62_01N_IDB1992,NB027 over Sand River,Bridge,Bridge,2012/11/05,01N,P62,18.38,16.80,32.65,1,Simply supported,
P66_01N_B5566A,Rietspruit River,Bridge,Bridge,2012/10/18,01N,P66,4.80,56.00,13.30,3,Continuous,2008/01/02
P66_01N_B5566B,Rietspruit river,Bridge,Bridge,2012/10/18,01N,P66,4.80,56.00,13.30,3,Continuous,2008/01/02
P66_01N_B5577A,Sesmyl River,Bridge,Bridge,2012/10/18,01N,P66,3.50,100.00,13.10,4,Simply supported,2012/01/02
P66_01N_B5577B,Sesmyl River,Bridge,Bridge,2012/10/18,01N,P66,3.50,100.00,13.10,4,Simply supported,2012/01/02
P66_01N_B817,JUSKEI RIVER BRIDGE,Bridge,Bridge,2012/11/07,01N,P66,23.90,31.50,25.00,3,Simply supported,
P66_01N_IDB2048,NB032 over Tributary to Apies River,Bridge,Bridge,2012/11/07,01N,P66,4.61,12.20,15.10,1,Simply supported,
P66_1_B3346,R55 Ic Ramp Bridge,Bridge,Bridge,2011/11/25,1,P66,34.50,123.80,13.41,4,Continuous,
P66_1_B3347A,R55 I/C Ramp Bridge,Bridge,Bridge,2011/11/25,1,P66,34.70,46.80,13.41,3,Continuous,1977/01/02
P66_1_B3347B,R55 Ic Ramp Bridge B,Bridge,Bridge,2011/11/25,1,P66,34.70,46.80,13.41,3,Continuous,
P67_01N_B2832,Rail over Road Bridge between N12 and Modder Rd,Bridge,Bridge,2012/10/10,01N,P67,11.20,111.20,26.10,2,Continuous,1982/01/02
P67_01N_B4058A,Road over abandoned Rail bridge at Dersley on R51,Bridge,Bridge,2012/10/07,01N,P67,6.90,71.10,13.30,4,Continous and simply supported,1982/01/02
P67_01N_B4058B,Road over abandoned Rail at Dersley on R51,Bridge,Bridge,2012/10/07,01N,P67,6.90,71.10,13.30,4,Continous and simply supported,1982/01/02
P67_01N_B4059A,Bridge over the Alexander Dam near Dersley,Bridge,Bridge,2012/10/06,01N,P67,6.60,43.80,13.35,2,Simply supported,1982/01/02
P67_01N_B4059B,Bridge over Alexander Dam near Dersley,Bridge,Bridge,2012/10/06,01N,P67,6.60,43.80,13.35,2,Simply supported,1982/01/02
P67_01N_B4078,unknown,Bridge,Bridge,2012/10/24,01N,P67,6.20,61.40,17.00,5,Continous and simply supported,1982/01/02
P67_01N_B4114,Pipe Bridge between N12 & Modder Rd,Bridge,Bridge,2012/10/10,01N,P67,11.00,58.00,7.32,2,Continuous,1982/01/02
P68_01N_B2806,Pomona River,Bridge,Bridge,2012/10/16,01N,P38,0.10,14.10,18.40,2,Simply supported,1969/01/02
P69_01_B4072,Road P69-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P69,8.15,20.64,57.00,1,,1981/01/01
P69_01_B4073,Road P69-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P69,6.46,28.50,41.40,1,,1980/01/01
P69_01_B4076,Road P69-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P69,5.30,11.07,75.00,1,,1981/01/01
P70_01N_B2701,KLEIN JUSKEI RIVER BRIDGE ON R564 WITKOPPEN ROAD,Bridge,Bridge,2012/11/19,01N,P70,14.80,27.00,17.40,3,Continous and simply supported,
P70_01N_B292,Braamfontein Spruit,Bridge,Bridge,2012/11/19,01N,P70,5.15,20.00,12.80,5,Continous and simply supported,1977/01/02
P70_01N_IDB2737,COCA COLA DOME PEDESTRIAN BRIDGE ,Bridge,Bridge,2012/11/16,01N,P70,19.03,100.00,7.40,7,Continous and simply supported,
P71_01N_B761,LONEHILL JUSKEI RIVER BRIDGE ,Bridge,Bridge,2012/11/12,01N,D71,3.09,28.00,9.30,4,Continous and simply supported,
P72_01_B3571,Road P72-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P72,5.60,9.29,53.09,1,,1977/01/01
P72_01_B3572,Road P72-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P72,6.85,13.18,72.09,1,,1977/01/01
P72_01_B3829,Road P72-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P72,10.10,24.13,70.00,1,,1976/01/01
P72_01N_B3570A,-,Bridge,Bridge,2012/10/22,01N,P72,3.80,16.60,13.00,2,Cantilever with drop in spans,
P72_01N_B3570B,-,Bridge,Bridge,2012/10/22,01N,P72,3.80,16.60,13.00,2,Simply supported,
P72_01N_B4367,-,Bridge,Bridge,2012/10/21,01N,P72,13.92,26.80,21.60,1,Simply supported,
P72_01N_B4400,"Rifle Range Road (M38) over Klipriver Road (M7, P72/1)",Bridge,Bridge,2012/10/26,01N,P72,1.00,54.40,25.50,2,Continuous,1985/01/02
P72_01N_B5046A,Aspen Hills,Bridge,Bridge,2012/10/22,01N,P72,8.60,55.50,11.10,3,Cantilever with drop in spans,
P72_01N_B5046B,Aspen Hills,Bridge,Bridge,2012/10/22,01N,P72,8.60,55.50,11.10,3,Cantilever with drop in spans,
P73_01N_B1031,P73/1-01,Bridge,Bridge,2012/10/18,01N,P73,10.07,42.90,17.60,3,Simply supported,
P73_01N_B1752,-,Bridge,Bridge,2012/10/29,01N,P73,37.60,80.60,10.49,4,Simply supported,
P73_01N_B2206A,-,Bridge,Bridge,2012/10/28,01N,P73,17.40,28.80,16.00,3,Simply supported,
P73_01N_B2206B,-,Bridge,Bridge,2012/10/28,01N,P73,17.40,28.80,15.80,3,Continuous,
P73_01N_B5257A,-,Bridge,Bridge,2012/10/29,01N,P73,6.20,29.20,18.10,1,Simply supported,
P73_01N_B5257B,-,Bridge,Bridge,2012/10/29,01N,P73,62.00,29.20,18.50,1,Simply supported,
P74_01N_B1284,Hekpoort Bridge 1284,Bridge,Bridge,2012/10/03,01N,P74,19.60,12.70,8.90,1,Simply supported,
P74_01N_B2749,Sterkfontein Bridge 2749,Bridge,Bridge,2012/10/03,01N,P74,2.70,19.90,12.30,3,Simply supported,
P74_01N_B2750,Zwartkrans Bridge 2750,Bridge,Bridge,2012/10/03,01N,P74,3.20,24.00,12.30,3,Simply supported,
P74_01N_B389,Hartbeeshoek Bridge 389,Bridge,Bridge,2012/10/03,01N,P74,15.60,14.80,12.10,4,Simply supported,
P79_01N_B527,DIEPSLOOT RIVER BRIDGE ,Bridge,Bridge,2012/11/12,01N,P79,9.10,14.30,9.00,4,Continous and simply supported,
P79_01N_B5518A,MONTE CASINO BRIDGE ON WILLIAM NICOL ,Bridge,Bridge,2012/11/12,01N,P79,2.13,51.10,18.00,2,Continous and simply supported,
P79_01N_B5518B,MONTE CASINO BRIDGE ON WILLIAM NICOL ,Bridge,Bridge,2012/11/12,01N,P79,2.13,51.10,20.00,2,Continous and simply supported,
P88_01N_B988A,-,Bridge,Bridge,2012/10/27,01N,P88,8.05,17.00,14.50,2,Simply supported,
P88_01N_B988B,-,Bridge,Bridge,2012/10/27,01N,P88,8.05,17.40,14.20,2,Simply supported,
P89_01N_B1016,Elandsfontein Bridge 1016,Bridge,Bridge,2012/10/11,01N,P89,11.80,18.20,4.45,1,Simply supported,
P89_01N_B1901,Elandsfontein Bridge 1901,Bridge,Bridge,2012/10/11,01N,P89,10.50,29.10,11.30,3,Simply supported,
P91_01N_B1110,Kaalfontein Train Station Bridge,Bridge,Bridge,2012/11/09,01N,P91,21.40,15.00,18.20,1,Simply supported,1961/01/02
P91_01N_B3153,Modderfontein On Ramp Bridge,Bridge,Bridge,2012/10/11,01N,P91,6.70,133.00,16.00,4,Simply supported,1971/01/02
P91_01N_B4648,Isando Railway Bridge,Bridge,Bridge,2012/10/11,01N,P91,11.20,103.50,12.00,5,Simply supported,1984/01/02
P91_01N_B4649,Abandoned Railway Bridge repurposed to Pedestrian Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.05,81.50,7.00,4,Continuous,1984/01/01
P91_01N_B4729A,Isando Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.10,59.50,21.20,2,Simply supported,1986/01/02
P91_01N_B4729B,Isando Bridge,Bridge,Bridge,2012/10/11,01N,P91,12.10,60.00,21.20,2,Simply supported,
P91_02N_B4183,unknown,Bridge,Bridge,2012/10/26,02N,P91,3.50,36.00,13.60,3,Simply supported,1979/01/02
P95_01N_B1423,Groot River Bridge,Bridge,Bridge,2012/09/26,01N,P95,24.70,31.30,8.10,4,Simply supported,
P95_01N_B4294,Railway & River Bridge,Bridge,Bridge,2012/10/16,01N,P95,6.20,227.00,11.70,9,Simply supported,1982/01/02
P95_02N_B1634,Bridge number 1634,Bridge,Bridge,2012/09/24,02N,P95,23.00,27.00,7.80,3,Simply supported,
